Carimbo de data/hora,Educational attainment,"Area of study (e.g. Computer Science, Civil engineering)",Professional Experience in Software Development,Current role,Country,"Rate your level of agreement with the following statements. [I have experience with tools that allow the creation of diagrams from terraform code  (e.g. terraform graph, pluralith, rover, inframap, others).]",Rate your level of agreement with the following statements. [I am familiar with the Unified Modeling Language (UML).],Rate your level of agreement with the following statements. [I am familiar with UML component diagrams.],Rate your level of agreement with the following statements. [I am familiar with UML deployment diagrams.],"I think that with Infragenie, it is easy to... [create architectural diagrams.]","I think that with Infragenie, it is easy to... [keep architectural diagrams updated.]","I think that with Infragenie, it is easy to... [keep architectural diagrams consistent with the source-code.]","I think that with Infragenie, it is easy to... [add new information (not inferred from the source-code) to the diagrams.]","I think that with Infragenie, it is easy to... [change the generated architectural diagrams.]","I think that with Infragenie, it is easy to... [verify how changes may impact the architecture (e.g. adding new services, changing network ports, etc.).]",I think that the submitted architecture diagram is... [complete.],I think that Terraform Analyzer is useful to help ensure that architectural documentation is... [consistent.],I think that the submitted architecture diagram is... [precise.],I think that Terraform Analyzer is useful to help ensure that architectural documentation is... [easier to consult.],I think that the submitted architecture diagram is... [easy to understand.],I think that Terraform Analyzer is useful to help ensure that architectural documentation is... [easier to maintain.],I think that Terraform Analyzer is useful to help ensure that architectural documentation is... [easier to update.],"If the architecture diagram was generated after every code change, I think that it would be useful to help to... [plan future changes on the architecture.]","If the architecture diagram was generated after every code change, I think that it would be useful to help to... [understand the impact of changes in the architecture.]","If the architecture diagram was generated after every code change, I think that it would be useful to help to... [be more confident while introducing architectural changes.]","If the architecture diagram was generated after every code change, I think that it would be useful to help to... [implement architectural changes faster.]",I think that the provided diagram shows... [a complete view of the architecture.],I think that the provided diagram shows... [the most relevant elements of the architecture.],"How would you improve this diagram? (you can mention missing elements, different naming, representation, etc) ",The edit capabilities of Terraform Analyzer allow to... [increase the diagram value.],The edit capabilities of Terraform Analyzer allow to... [make the diagram more consistent.],The edit capabilities of Terraform Analyzer allow to... [representing details that were not automatically captured.],"About the edit capabilities of Infragenie, are they useful to increase the diagram value or even to test out changes in the architecture? Let us know what do you think about this feature and how we can improve it.","Before receiving our diagram, did the documentation of your projects include any other architectural diagram(s)?","Rate your level of agreement with the following statements.

I think the new architecture diagram... [is more precise than the existing diagrams]",Why?,"Rate your level of agreement with the following statement.

I am considering to include the generated architecture diagram to my project.",I am considering to ... [use infragenie to visualize and plan changes in the architecture.],I am considering to ... [use Infragenie in new projects.],The submitted architecture diagram would be better if ... [more UML elements were available to use.],The submitted architecture diagram would be better if ... [it wasn't restricted to UML elements.],The submitted architecture diagram would be better if ... [it automatically detected architectural changes (keeping the diagram always updated without manual intervention)],"Leave us your comments. What did you think of the submitted architecture diagram, how did you perceive its usefulness, and what improvements would you suggest?",Rate your level of agreement with the following statements. [I am familiar with Terraform.],,Rate your level of agreement with the following statements. [I am familiar with the repository terraform code],I am familiar with the terraform code in this repository,I think that the provided diagram shows... [is easy to read],I think that the submitted architecture diagram is... [easy to read.],"Rate your level of agreement with the following statements.

I think the new architecture diagram... [is easier to understand than the existing diagrams]","Rate your level of agreement with the following statements.

I think the new architecture diagram... [is more complete than the existing diagrams]","Rate your level of agreement with the following statements.

I think the new architecture diagram... [is easier to read than the existing diagrams]",Rate your level of agreement with the following statements. [I am familiar with the Terraform code in this repository],I think that the submitted architecture diagram is... [the most relevant elements of the architecture.],I think that the provided diagram shows... [Linha 4]
2024/06/26 18:33:26,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",Computer Science,10 to 14 years,Cloud Architect,France,Strongly disagree,Agree,,Disagree,,,,,,,Agree,,Agree,,Agree,,,,,,,,,,,,,,No,,,Agree,,,,,,,Agree,,,,,Agree,,,,Agree,,
2024/06/26 19:54:41,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Electronic Engineering,1 to 4 years,Cloud Engineer,South Africa,Neutral,Agree,,Agree,,,,,,,Agree,,Agree,,Agree,,,,,,,,,By stipulating a label for the name of the resource,,,,,Yes,Agree,,Agree,,,,,,"I would suggest including labels for the resources to know what the resources is eg. (database: <database_name>). It is useful when trying to understand an architecture that you have not seeing before, rather than making sense of code, the diagram that directly relates to code is a lot easier to grasp. I would also like to know if this project is able to show how different component connect with each other eg.(database-security group)",Strongly agree,,,,,Agree,Agree,Neutral,Agree,Strongly agree,,
2024/06/26 20:53:39,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Computer science ,5 to 9 years,Software developer ,Canada,Strongly disagree,Strongly disagree,,Strongly disagree,,,,,,,Agree,,Neutral,,Disagree,,,,,,,,,I don't understand what it is trying to achieve ,,,,,No,,,Disagree,,,,,,,Strongly agree,,,,,Agree,,,,Strongly agree,,
2024/06/26 21:01:03,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Computer Science,1 to 4 years,Software Engineer I,Brazil,Strongly agree,Agree,,Neutral,,,,,,,Agree,,Strongly agree,,Strongly agree,,,,,,,,,,,,,,I am not sure,,,Agree,,,,,,,Strongly agree,,,,,Strongly agree,,,,Strongly agree,,
2024/06/26 22:08:55,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Electrical Engineering,1 to 4 years,CloudOps Engineer,United States,Agree,Disagree,,Disagree,,,,,,,Neutral,,Neutral,,Strongly agree,,,,,,,,,,,,,,Yes,Neutral,,Neutral,,,,,,,Strongly agree,,,,,Strongly agree,Agree,Neutral,Agree,Strongly agree,,
2024/06/26 22:22:17,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Software Engineering,15 or more,Sr Frontend Engineer,Brazil,Disagree,Agree,,Neutral,,,,,,,Disagree,,Disagree,,Agree,,,,,,,,,I think that the lambda functions and other elements should be present as well.,,,,,No,,,Neutral,,,,,,"It should show more elements in the project like IAM roles, lambda functions, everything that can explain how the architecture works.",Agree,,,,,Agree,,,,Strongly agree,,
2024/06/26 22:30:25,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",Electrical Engineering and Information Technology ,1 to 4 years,Software Engineer,Germany,Strongly disagree,Strongly agree,,Agree,,,,,,,Disagree,,Neutral,,Disagree,,,,,,,,,Connection of related infrastructure ,,,,,Yes,Disagree,,Disagree,,,,,,,Agree,,,,,Agree,Disagree,Disagree,Disagree,Agree,,
2024/06/26 22:31:25,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Electrical Engineering and Information Technology,1 to 4 years,DevOps,Romania,Disagree,Neutral,,Neutral,,,,,,,Strongly agree,,Strongly agree,,Strongly agree,,,,,,,,,"looks fine by me
",,,,,No,,,Agree,,,,,,keep up the good work,Strongly agree,,,,,Strongly agree,,,,Strongly agree,,
2024/06/26 23:54:52,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Computer Science,1 to 4 years,Data Engineer,Brazil,Agree,Neutral,,Neutral,,,,,,,Strongly agree,,Strongly agree,,Strongly agree,,,,,,,,,,,,,,No,,,Disagree,,,,,,"In my case, it was not very useful, even though it was correct. My architecture is simple enough to be understood without a diagram.",Agree,,,,,Strongly agree,,,,Agree,,
2024/06/27 03:47:12,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Computer Science,15 or more,Chief Cloud Architect,United States,Strongly disagree,Agree,,Agree,,,,,,,Agree,,Agree,,Disagree,,,,,,,,,"It tells me nothing useful about the codebase. I saw one single block with a module name, and that's it. there is no value in that.",,,,,No,,,Strongly disagree,,,,,,It didn't seem to drill down into any of the underlying module's architecture. That would have been useful.,Agree,,,,,Disagree,,,,Agree,,
2024/06/27 04:01:42,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",Computer Science,10 to 14 years,Senior Backend Developer,Brazil,Strongly disagree,Agree,,Strongly disagree,,,,,,,Strongly disagree,,Neutral,,Agree,,,,,,,,,"The diagram does not show the ""iam"" module present in the repository, nor the role created by it, I think they could appear blank if the tool does not support their types, which could lead me to think that they do not exist. The ""apigateway"" module is also incomplete, not listing most of the resources. I believe that showing the modules' input and output variables would also give a more complete view of how a module relates to the others. And I had difficulty understanding that the name in bold was the name of the resource created in AWS, instead of its name in terraform, which would lead me to use the wrong name, since the name of the modules in the diagram is the name in terraform.",,,,,No,,,Disagree,,,,,,"Como o diagrama encontra-se incompleto, não mostrando recursos importantes, nem a relação entre os recursos ou módulos, e esse repositório sendo um exemplo para ensino, esse diagrama não cumpre bem um propósito.",Agree,,,,,Neutral,,,,Agree,,
2024/06/27 04:22:52,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Computing,1 to 4 years,Developer,Hong Kong,Disagree,Disagree,,Disagree,,,,,,,Neutral,,Neutral,,Agree,,,,,,,,,"It looks to me several components are missing. The diagram shows there only lambda. In fact, there are s3, cloudwatch log group, api gateway, etc.",,,,,No,,,Disagree,,,,,,,Agree,,,,,Agree,,,,Strongly agree,,
2024/06/27 04:34:52,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)","Computer Science, Cloud Computing",1 to 4 years,Cloud Architect,Guatemala,Neutral,Agree,,Disagree,,,,,,,Agree,,Strongly agree,,Neutral,,,,,,,,,"I would improve it in a more friendly way for the end user, for example with an icon of the logo of the infrastructure in question or something that identifies which cloud provider it belongs to.",,,,,Yes,Disagree,"As I explained previously, I feel that it would be nice to be able to visually see that an infrastructure icon will be indicated, also in my repository I have a kubernetes cluster, something that I do not see in the diagram created, that is, I have several modules, so of which only one was designed, but that module seems quite precise and accurate to me",Agree,,,,,,"It seems perfect to me, sometimes you want to layout what is built in terraform for non-technical personnel, it would be excellent to be more friendly for the end user, I think you could take inspiration from the software called ""Ice Panel"" for layout in c4",Strongly agree,,,,,Agree,Disagree,Neutral,Neutral,Strongly agree,,
2024/06/27 06:39:49,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",Department of Electrical and Electronic Engineering,5 to 9 years,SRE,Japan,Disagree,Strongly disagree,,Strongly disagree,,,,,,,Disagree,,Disagree,,Neutral,,,,,,,,,,,,,,No,,,Strongly disagree,,,,,,"I would have been happy with something more like a flowchart diagram.
It was not very accurate in my repository, so I thought the accuracy could use a little more improvement.",Neutral,,,,,Disagree,,,,Agree,,
2024/06/27 06:45:55,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Computer Science,15 or more,Freelance software engineer / DevOps engineer,Japan,Disagree,Agree,,Neutral,,,,,,,Disagree,,Disagree,,Agree,,,,,,,,,"The diagram only showed three resources from my repo, when it has over a dozen, so there's a lot of missing parts. I would also like to see how the resources relate to modules (e.g. which resources are generated by which models) and any additional information, like outputs and variables used.",,,,,No,,,Strongly disagree,,,,,,"I really don't know if it had any usefulness for my particular project, especially since it seemed to lack a lot of missing information. I can see it being useful if it included everything from my project.",Strongly agree,,,,,Agree,,,,Strongly agree,,
2024/06/27 08:40:53,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Economics and IT,5 to 9 years,"IT Consulting (AWS Engineering and Archtiecting, DevOps)",Germany,Disagree,Agree,,Disagree,,,,,,,Neutral,,Neutral,,Neutral,,,,,,,,,"The diagram(s) I received via email I do not find helpful, the show me just 2 created resources by name and a some interaction between them. It is a hard job to do anway I can imagine, I would very much like to seee the tool in action and I am pretty sure I find it VERY useful. On the same page I am somwhat curious about the ability of bulding diagrams from very complex terraform modules/stacks/solutions - so if there's a chance I can contribute or test or give further feedback, please feel free to contact me for more interaction, I am the author of this: https://github.com/arnehaese/ecr-scan-notification-pipe",,,,,Yes,Neutral,I find it hard a this stat to answer because the diagram I received doesn't help much for now - but I am all open for seeing more of it and with other source bases :) ,Agree,,,,,,"As mentioned before, it is a bit hard to say at this state how useful and recise the outcomes are, would like to see more though :) ",Strongly agree,,,,,Neutral,Neutral,Neutral,Neutral,Strongly agree,,
2024/06/27 09:39:15,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Software Engineering,15 or more,Backend Engineer,United Kingdom,Neutral,Agree,,Agree,,,,,,,Strongly agree,,Strongly agree,,Agree,,,,,,,,,,,,,,No,,,Neutral,,,,,,,Agree,,,,,Agree,,,,Strongly agree,,
2024/06/27 11:44:29,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",Computer Science,10 to 14 years,,Poland,Strongly agree,Strongly agree,,Strongly disagree,,,,,,,Agree,,Strongly agree,,Strongly agree,,,,,,,,,"all blocks are of the same shape, if it's a database or a queue it's more helpful to indicate that with the appropriate icon or shape",,,,,No,,,Strongly disagree,,,,,,,Strongly agree,,,,,Strongly agree,,,,Strongly agree,,
2024/06/27 13:00:10,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Computer Science ,1 to 4 years,Software Engineer ,Burma,Neutral,Agree,,Neutral,,,,,,,Disagree,,Disagree,,Disagree,,,,,,,,,You should list the resources used in the code. E.g s3,,,,,I am not sure,,,Neutral,,,,,,,Strongly agree,,,,,Disagree,,,,Strongly agree,,
2024/06/27 15:38:18,Some college/university study without earning a degree,IT solutions architecture ,5 to 9 years,IT Manager ,South Africa,Neutral,Disagree,,Disagree,,,,,,,Agree,,Agree,,Agree,,,,,,,,,,,,,,No,,,Strongly agree,,,,,,,Agree,,,,,Agree,,,,Agree,,
2024/06/27 17:20:44,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Accounting,5 to 9 years,Data Engineer,Ghana,Disagree,Agree,,Neutral,,,,,,,Agree,,Neutral,,Disagree,,,,,,,,,Arrows to show direction of flow and colours with logos to make it easy to read and identify resources,,,,,No,,,Agree,,,,,,"I would suggest adding arrows to show direction of flow, colours and logos of resources to make it easy to read and identify",Strongly agree,,,,,Neutral,,,,Strongly agree,,
2024/06/27 18:45:44,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Computer Science,5 to 9 years,Software Engineer,United States,Strongly disagree,Agree,,Agree,,,,,,,Disagree,,Neutral,,Strongly agree,,,,,,,,,"The diagram is missing the S3 bucket generated by the Terraform file, as well as missing the triggers for the Lambda.

The diagram is also missing the IAM roles/policies, but that doesn't matter as much if this is purely an architecture diagram that intentionally leaves out security systems.",,,,,No,,,Disagree,,,,,,"The architecture diagram was useful, for its output. As it is missing a key component of the overall architecture, it isn't useful enough to be included with documentation.",Strongly agree,,,,,Strongly agree,,,,Strongly agree,,
2024/06/27 20:16:03,Some college/university study without earning a degree,Computer Science,10 to 14 years,Senior Software Engineer,Ukraine,Disagree,Strongly agree,,Agree,,,,,,,Disagree,,Disagree,,Neutral,,,,,,,,,It didn't read all the components,,,,,Yes,Disagree,,Disagree,,,,,,,Strongly agree,,,,,Neutral,Disagree,Disagree,Disagree,Strongly agree,,
2024/06/28 00:03:50,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Computer Science,1 to 4 years,Cloud Artichet/Data Engineer,Germany,Disagree,Agree,,Agree,,,,,,,Agree,,Neutral,,Agree,,,,,,,,,,,,,,Yes,Strongly Disagree,most diagrams cover a bigger picture while your diagram focuses on just one aspect of the infrastructure. Thus it's more readable by default and can include more detailed information,Agree,,,,,,I think it's not much use to have an individual diagram as opposed to having a variety of architectural choices when making a decision on a decoupling mechanism for a given system. Then it would be useful to have a few diagrams to illustrate these architectural patterns,Strongly agree,,,,,Agree,Neutral,Disagree,Neutral,Strongly agree,,
2024/06/28 00:38:28,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Veterinary Medicine,5 to 9 years,Full stack developer,Nigeria,Neutral,Agree,,Agree,,,,,,,Disagree,,Disagree,,Agree,,,,,,,,,"Went back to look at the step function, and i noticed that the main process ""Process transaction is missing"" also would prefer if Process transaction branches into two branches (process-refund and process-purchase).",,,,,Yes,Disagree,The diagram generated by aws graph inspector showed the detailed and true picture of the processes.,Neutral,,,,,,"Made my remark in the previous form. keep up the good work, there is still room for improvement.",Strongly agree,,,,,Agree,Disagree,Disagree,Disagree,Strongly agree,,
2024/06/28 03:26:20,Some college/university study without earning a degree,Civil engineering,Less than 1 year,Student,India,Agree,Agree,,Agree,,,,,,,Agree,,Agree,,Agree,,,,,,,,,,,,,,Yes,Neutral,,Neutral,,,,,,"It's would be really usefull, you are really working on good things ",Strongly agree,,,,,Agree,Disagree,Disagree,Disagree,Strongly agree,,
2024/06/28 11:33:17,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",Computer science,5 to 9 years,Site reliability engineet,Turkey,Disagree,Strongly agree,,Agree,,,,,,,Agree,,Neutral,,Agree,,,,,,,,,"The diagram shows the functional parts and their relations in a clear and readable way. I think in terms of non functional resources such as IAM roles, api gw deployment, build step with null resource etc can be added to diagram with different notations to reflect the complete IAC implementation. Thanks for conducting this survey",,,,,No,,,Neutral,,,,,,"Since this is a pretty basic sample implementation of a lambda function I don’t see much of use in this project. Yet I think these type of diagrams would be much more beneficial for relatively complex projects. Overall, I would definitely want to use such tools to create baseline diagrams. Nowadays in case of need I’m manually drawing these things with drawing tools such as draw.io and alike. ",Strongly agree,,,,,Agree,,,,Strongly agree,,
2024/06/28 13:06:06,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Computer Science,5 to 9 years,Software Engineer,Taiwan,Disagree,Strongly agree,,Neutral,,,,,,,Strongly disagree,,Strongly disagree,,Strongly agree,,,,,,,,,there should be some ECS services,,,,,Yes,Strongly Disagree,,Strongly disagree,,,,,,some services are missing in the diagram,Strongly agree,,,,,Strongly agree,Neutral,Strongly Disagree,Neutral,Strongly agree,,
2024/06/28 13:49:44,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Computer Science ,5 to 9 years,Backend Engineer,Brazil,Strongly disagree,Agree,,Agree,,,,,,,Strongly disagree,,Disagree,,Neutral,,,,,,,,,"The current diagram contains only one resource: the SNS topic without any relationship. I expected to see the main resources such as aws_budgets_budget (2 resources in the module and they depend on the SNS topic), aws_iam_role, aws_iam_role_policy, and the aws_cloudformation_stack.

",,,,,No,,,Disagree,,,,,,"I tried to use graph from Terraform before but for huge modules it gets really confusing so I really see potential on the tool you're developing, but again, based on my terraform module I could only see one component in the diagram without any relashionship so it is diffucult to judge at this stage.

I've tried using Terraform's graph feature before, but it becomes confusing with large modules. I see potential in the tool you're developing, but right now, based on my Terraform module, I only see one component in the diagram without any relationships. It's hard to judge its effectiveness at this stage.
",Strongly agree,,,,,Neutral,,,,Strongly agree,,
2024/06/28 19:55:44,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Management Information Systems,15 or more,DevOps,United States,Agree,Agree,,Agree,,,,,,,Agree,,Agree,,Agree,,,,,,,,,,,,,,Yes,Neutral,,Neutral,,,,,,,Strongly agree,,,,,Agree,Agree,Neutral,Agree,Strongly agree,,
2024/06/28 22:04:37,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Computer Science,1 to 4 years,AWS Full Stack Engineer,United States,Disagree,Strongly disagree,,Strongly disagree,,,,,,,Strongly disagree,,Disagree,,Agree,,,,,,,,,It is missing many other resources within the full scope of my terraform architecture such as the modules,,,,,No,,,Strongly disagree,,,,,,It would be useful if it included the full scope of terraform modules. I would love to see that and I’m sure it could. Also there are dependencies between modules that should be taken into account,Agree,,,,,Agree,,,,Agree,,
2024/06/29 01:09:25,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",Math,10 to 14 years,Director of Engineering,United Kingdom,Disagree,Agree,,Agree,,,,,,,Disagree,,Disagree,,Agree,,,,,,,,,"The repo was quite small but the tool missed resources, specifically API Gateway related ones.",,,,,No,,,Disagree,,,,,,"I'm curious what differentiates your tool from what is already available in the space. I've been thinking about exploring terraform->architecture diagram tools for a bit. My repository that your tool hit is an incomplete one that I hadn't fully built anything out in, so I'd like to see  how it would do in a more complex one.

If you're looking for collaborators feel free to reach out, I'm interested in where you go with this. I really enjoy building out infrastructure via Terraform.",Strongly agree,,,,,Agree,,,,Strongly agree,,
2024/06/29 02:13:57,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Computer Science,10 to 14 years,Systems Analyst,Brazil,Agree,Agree,,Neutral,,,,,,,Neutral,,Neutral,,Agree,,,,,,,,,,,,,,No,,,Strongly agree,,,,,,,Agree,,,,,Agree,,,,Agree,,
2024/06/29 09:56:21,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",Computer Engineering ,10 to 14 years,Senior Engineering Manager ,Italy,Strongly disagree,Neutral,,Disagree,,,,,,,Strongly agree,,Strongly agree,,Strongly agree,,,,,,,,,,,,,,No,,,Neutral,,,,,,,Agree,,,,,Strongly agree,,,,Agree,,
2024/06/29 11:00:17,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",Computer Science,5 to 9 years,Senior Software engineer,Spain,Strongly disagree,Strongly agree,,Strongly agree,,,,,,,Agree,,Neutral,,Strongly agree,,,,,,,,,,,,,,No,,,Disagree,,,,,,"I wouldn't add the generated diagram to my project, because it's only a lambda. I don't know how is the diagram of more complex projects, but I would like to have the ability to activate different layers in a diagram. For example, in layer 0 we can only see the elements in boxes, in layer 1 we can see the elements in boxes and the security groups,...",Strongly agree,,,,,Agree,,,,Neutral,,
2024/06/29 16:17:16,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",Philosophy,5 to 9 years,DevOps engineer,Canada,Disagree,Agree,,Disagree,,,,,,,Disagree,,Neutral,,Neutral,,,,,,,,,the diagram submitted to me lacks an essential part of the system:  the API Gateway (entrypoint to the Lambda),,,,,No,,,Disagree,,,,,,"kind of trivial, worse: incomplete",Strongly agree,,,,,Agree,,,,Strongly agree,,
2024/06/30 04:53:59,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Industrial Engineering,1 to 4 years,Python Developer,Mexico,Disagree,Neutral,,Neutral,,,,,,,Agree,,Agree,,Neutral,,,,,,,,,"its ok, for simple projects",,,,,No,,,Agree,,,,,,,Neutral,,,,,Neutral,,,,Neutral,,
2024/06/30 15:24:40,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",Computer Science,5 to 9 years,Self employed,Ethiopia,Strongly disagree,Agree,,Neutral,,,,,,,Strongly agree,,Strongly agree,,Strongly agree,,,,,,,,,"colors would be nice, also logos for the resources",,,,,Yes,Agree,"The current diagram show the flow of how users interact with the system, not just the relationships between the resources.",Agree,,,,,,Good work,Agree,,,,,Agree,Neutral,Neutral,Neutral,Strongly agree,,
2024/06/30 17:31:59,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",Software Engineering,1 to 4 years,Senior Software Developer,United States,Strongly disagree,Agree,,Disagree,,,,,,,Disagree,,Agree,,Neutral,,,,,,,,,"A white background instead of a transparent background would make it more readable, I had to open the image in a separate program to see the lines between the boxes. 

You might also consider diagramming iam permissions (maybe optionally?). My lambda posts to my dynamodb instance, but there is no line between them in the chart. The code that does this is not part of the terraform, so the only way to infer it from .tf alone is by noting that the lambda execution role has been granted explicit access to the database. ",,,,,No,,,Neutral,,,,,,"I think the idea could be useful for troubleshooting, debugging, and overall timesaving.However, I'm curious how it is meant to infer connections from ec2/ecs/lambda or any other service that can include externally-managed arbitrary code. As I stated in a previous comment, I'd probably try and indicate IAM permissions in an attempt to address this, perhaps indicating those relationships with a different color or different style.",Strongly agree,,,,,Neutral,,,,Strongly agree,,
2024/07/01 17:28:36,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Biomedical Engineering,1 to 4 years,Site Reliability Engineer,Greece,Strongly disagree,Disagree,,Disagree,,,,,,,Strongly disagree,,Disagree,,Agree,,,,,,,,,"I am not saying that my code is ""correctly"" structured, but most of the architectural elements are missing some examples are: api gateways, s3 bucket, cloudfront. Additionally the is not clear connection between the lambda functions and the DB backend ",,,,,Yes,Strongly Disagree,"It would be extremely helpful and interesting to have a tool scan a repository and generate an architecture diagram, but the diagram I say in the email is incomplete and lacks correct relationship presentation",Strongly disagree,,,,,,"As I mentioned before, this tool has a lot of potential benefits for engineers and developers, but from how it performed on my repository I don't find it sufficiently mature",Agree,,,,,Strongly agree,Neutral,Strongly Disagree,Neutral,Strongly agree,,
2024/07/01 18:32:22,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",Computer Science,5 to 9 years,Software Engineer,Germany,Strongly disagree,Agree,,Strongly disagree,,,,,,,Disagree,,Disagree,,Neutral,,,,,,,,,,,,,,No,,,Neutral,,,,,,,Strongly agree,,,,,Agree,,,,Strongly agree,,
2024/07/02 09:59:17,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",,1 to 4 years,,India,Strongly agree,Strongly agree,,Strongly agree,,,,,,,Strongly agree,,Strongly agree,,Strongly agree,,,,,,,,,,,,,,No,,,Agree,,,,,,,Strongly agree,,,,,Strongly agree,,,,Strongly agree,,
2024/07/02 14:45:20,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Cybersecurity,1 to 4 years,DevSecOp Engineer,United States,Neutral,Agree,,Neutral,,,,,,,Agree,,Neutral,,Neutral,,,,,,,,,"submitted diagram is missing CloudWatch events and logs tied to the lambda functions.  Also, it would be good to pull out other defined parameters within the module.",,,,,No,,,Agree,,,,,,Overall a clean diagram.,Agree,,,,,Agree,,,,Agree,,
2024/07/02 16:56:49,Some college/university study without earning a degree,Electronics,15 or more,DevOps,Switzerland,Disagree,Agree,,Disagree,,,,,,,Agree,,Agree,,Agree,,,,,,,,,,,,,,No,,,Neutral,,,,,,,Agree,,,,,Agree,,,,Agree,,
2024/07/02 17:18:28,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Computer Science and Engineering,1 to 4 years,DevOps Engineer,Bangladesh,Agree,Strongly agree,,Strongly agree,,,,,,,Strongly agree,,Strongly agree,,Strongly agree,,,,,,,,,Looks great!,,,,,No,,,Agree,,,,,,Other services can be included,Strongly agree,,,,,Strongly agree,,,,Strongly agree,,
2024/07/05 12:53:15,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Computer Science,1 to 4 years,AWS Developer - python,India,Neutral,Agree,,Agree,,,,,,,Strongly agree,,Agree,,Agree,,,,,,,,,flow may be included,,,,,No,,,Agree,,,,,,,Agree,,,,,Agree,,,,Strongly agree,,
